Name,Sector,Address,City,"State or Province",Zip,Country,Phone,Url,"Revenue ($mlns)",Employees,"Ownership Status",Investors/Acquirers,"Buy M&A Count - Total","Avg. Buy Count Per Year (Last 5 Yrs)","Sell M&A Count - Total","Avg. Sell Count Per Year (Last 5 Yrs)"
GM,Automotive,"300 Renaissance Center",Detroit,Michigan,48265,"United States","(313) 667-1500",www.gm.com,"122,485",155000,Public,,4,,6,0.2
"JPMorgan Chase","Financial Services","383 Madison Avenue","New York","New York",10179,"United States","(212) 270-6000",www.jpmorganchase.com,"121,706",271025,Public,,25,2.4,9,0.4
Marathon,"Energy Services and Equipment","539 South Main Street",Findlay,Ohio,45840,"United States","(419) 422-2121",www.marathonpetroleum.com,"119,983",17700,Public,,2,0.2,2,0.4
Facebook,"Internet Software and Services","1601 Willow Road","Menlo Park",California,94025,"United States","(650) 543-4800",www.facebook.com,"117,929",77805,Public,,83,3.2,,
Comcast,Media,"One Comcast Center 1701 John F. Kennedy Boulevard",Philadelphia,Pennsylvania,19103,"United States","(215) 286-1700",www.corporate.comcast.com,"116,385",189000,Public,,25,1.2,1,0.2
Dell,"Technology Hardware","1 Dell Way","Round Rock",Texas,78682,"United States","(800) 289-3355",www.delltechnologies.com,"101,197",133000,Public,,29,,7,0.2
UPS,Transportation,"55 Glenlake Parkway, NE",Atlanta,Georgia,30328,"United States","(404) 828-6000",www.ups.com,"97,287",273510,Public,,19,0.4,4,0.4
Lowe's,Retail,"1000 Lowe's Boulevard",Mooresville,"North Carolina",28117,"United States","(704) 758-1000",www.lowes.com,"96,250",200000,Public,,8,0.4,2,0.4
Chevron,"Oil/Gas Exploration","6001 Bollinger Canyon Road","San Ramon",California,94583,"United States","(925) 842-1000",www.chevron.com,"94,471",47736,Public,,15,0.8,14,0.2
"Johnson & Johnson","Consumer Products","One Johnson & Johnson Plaza","New Brunswick","New Jersey",08933,"United States","(732) 524-0400",www.jnj.com,"93,775",141700,Public,,41,1.2,17,0.6
Target,Retail,"1000 Nicollet Mall",Minneapolis,Minnesota,55403,"United States","(612) 304-6073",www.targetcorp.com,"93,561",409000,Public,,9,0.2,5,
"Bank of America","Financial Services","Bank of America Corporate Center 100 North Tryon Street",Charlotte,"North Carolina",28255,"United States","(704) 386-5681",www.bankofamerica.com,"89,113",210000,Public,,12,0.2,17,0.2
ADM,Agriculture,"77 West Wacker Drive, Suite 4600",Chicago,Illinois,60601,"United States","(312) 634-8100",www.adm.com,"85,249",39218,Public,,43,2.6,8,0.2
FedEx,Transportation,"942 South Shady Grove Road",Memphis,Tennessee,38120,"United States","(901) 818-7500",www.fedex.com,"83,959",324000,Public,,22,0.8,,
Humana,"Healthcare Services","Humana Building 500 West Main Street",Louisville,Kentucky,40202,"United States","(502) 580-1000",www.humana.com,"83,064",95500,Public,,31,1.0,6,0.4
Pfizer,"Life Science","235 East 42nd Street","New York","New York",10017,"United States","(212) 733-2323",www.pfizer.com,"81,288",79000,Public,,41,2.2,17,1.0
"General Electric",Diversified,"5 Necco Street",Boston,Massachusetts,02210,"United States","(617) 443-3000",www.ge.com,"79,619",205000,Public,,40,,44,2.0
Intel,Semiconductors,"2200 Mission College Boulevard","Santa Clara",California,95054,"United States","(408) 765-8080",www.intel.com,"79,024",122900,Public,,97,2.6,14,1.2
"Procter & Gamble","Consumer Products","One Procter & Gamble Plaza",Cincinnati,Ohio,45202,"United States","(513) 983-1100",www.pginvestor.com,"76,118",99000,Public,,27,1.2,31,0.2
"Wells Fargo","Financial Services","420 Montgomery Street","San Francisco",California,94163,"United States","(866) 249-3302",www.wellsfargo.com,"72,340",264513,Public,,23,0.2,16,1.2
Citi,"Financial Services","388 Greenwich Street","New York","New York",10013,"United States","(212) 559-1000",www.citigroup.com,"71,887",231000,Public,,16,,18,0.2
PepsiCo,Beverages,"700 Anderson Hill Road",Purchase,"New York",10577,"United States","(914) 253-2000",www.pepsico.com,"70,372",291000,Public,,26,1.6,3,0.2
"T-Mobile US",Communications,"12920 South East 38th Street",Bellevue,Washington,98006,"United States","(425) 378-4000",www.t-mobile.com,"68,397",75000,Public,,11,0.8,3,0.2
"Energy Transfer","Energy Services and Equipment","8111 Westchester Drive, Suite 600",Dallas,Texas,75225,"United States","(214) 981-0700",www.energytransfer.com,"67,417",12558,Public,,9,0.6,1,
"Lockheed Martin",Aerospace,"6801 Rockledge Drive",Bethesda,Maryland,20817,"United States","(301) 897-6000",www.lockheedmartin.com,"67,044",114000,Public,,28,0.2,7,0.4
MetLife,Insurance,"200 Park Avenue","New York","New York",10166,"United States","(212) 578-9500",www.metlife.com,"66,037",0,Public,,12,0.6,5,0.2
"Walt Disney",Media,"500 South Buena Vista Street",Burbank,California,91521,"United States","(818) 560-1000",www.thewaltdisneycompany.com,"65,388",175000,Public,,21,,8,0.8
Valero,"Energy Services and Equipment","One Valero Way","San Antonio",Texas,78249,"United States","(210) 345-2000",www.valero.com,"64,912",9964,Public,,5,0.4,8,
"Phillips 66","Energy Services and Equipment","2331 CityWest Boulevard",Houston,Texas,77042,"United States","(281) 293-6600",www.phillips66.com,"64,129",14300,Public,,3,0.4,3,0.2
HP,"Technology Hardware","1501 Page Mill Road","Palo Alto",California,94304,"United States","(650) 857-1501",www.hp.com,"63,487",51000,Public,,95,1.2,14,
Boeing,Aerospace,"100 North Riverside Plaza",Chicago,Illinois,60606,"United States","(312) 544-2000",www.boeing.com,"62,286",142000,Public,,32,1.0,5,
Bunge,Agriculture,"1391 Timberlake Manor Parkway","St. Louis",Missouri,63017,"United States","(314) 292-2000",www.bunge.com,"59,152",22000,Public,,10,,4,0.2
"HCA Healthcare","Healthcare Services","One Park Plaza",Nashville,Tennessee,37203,"United States","(615) 344-9551",www.hcahealthcare.com,"58,752",204000,Public,,16,1.4,7,0.4
IBM,"Information Technology","1 New Orchard Road",Armonk,"New York",10504,"United States","(914) 499-1900",www.ibm.com,"57,351",282100,Public,,189,4.8,31,2.0
"Prudential Financial",Insurance,"751 Broad Street",Newark,"New Jersey",07102,"United States","(973) 802-6000",www.prudential.com,"57,033",41671,Public,,6,0.6,9,0.8
"Raytheon Technologies",Diversified,"870 Winter Street",Waltham,Connecticut,02451,"United States","(781) 522-3000",www.rtx.com,"56,587",181000,Public,,21,0.8,18,1.2
"Morgan Stanley","Financial Services","1585 Broadway","New York","New York",10036,"United States","(212) 761-4000",www.morganstanley.com,"56,414",75000,Public,,5,0.8,9,0.2
AbbVie,"Life Science","1 North Waukegan Road","North Chicago",Illinois,60064,"United States","(847) 932-7900",www.abbvie.com,"56,197",50000,Public,,7,0.8,1,0.2
StoneX,"Business Services","155 East 44th Street Suite 900","New York","New York",10017,"United States","(212) 485-3500",www.stonex.com,"54,140",2946,Public,,17,2.4,,
Sysco,Distribution,"1390 Enclave Parkway",Houston,Texas,77077,"United States","(281) 584-1390 ",www.sysco.com,"52,893",57000,Public,,35,1.0,1,0.2
AIG,Insurance,"1271 Avenue of the Americas","New York","New York",10020,"United States","(212) 770-7000",www.aig.com,"51,885",36600,Public,,16,0.4,17,0.4
"Charter Communications",Communications,"400 Atlantic Street",Stamford,Connecticut,06901,"United States","(203) 905-7801",www.corporate.charter.com,"51,682",93700,Public,"Sandler Capital Management",11,,3,
Caterpillar,Machinery,"510 Lake Cook Road Suite 100",Deerfield,Illinois,60015,"United States","(224) 551-4000",www.caterpillar.com,"50,971",97000,Public,,38,0.6,8,0.2
"Cisco Systems","Technology Hardware","170 West Tasman Drive","San Jose",California,95134,"United States","(408) 526-7209",www.cisco.com,"49,818",77500,Public,,218,3.2,6,0.2
Merck,"Life Science","2000 Galloping Hill Road",Kenilworth,"New Jersey",07033,"United States","(908) 740-4000",www.merck.com,"48,704",67000,Public,,29,2.6,7,0.6
"Best Buy",Retail,"7601 Penn Ave. S.",Richfield,Minnesota,55423,"United States","(612) 291-1000",www.bestbuy.com,"47,262",61200,Public,,12,0.4,4,
"Bristol-Myers Squibb","Life Science","430 East 29th Street 14th Floor","New York","New York",10016,"United States","(212) 546-4000",www.bms.com,"46,385",32200,Public,,20,0.8,13,0.8
ConocoPhillips,"Oil/Gas Exploration","925 North Eldridge Parkway PO Box 2197",Houston,Texas,77079,"United States","(281) 293-1000",www.conocophillips.com,"45,828",9400,Public,,7,0.4,10,0.6
Allstate,Insurance,"2775 Sanders Road",Northbrook,Illinois,60062,"United States","(847) 402-5000",www.allstate.com,"44,791",41860,Public,,14,1.0,5,0.4
"The Goldman Sachs Group","Financial Services","200 West Street","New York","New York",10282,"United States","(212) 902-1000",www.goldmansachs.com,"44,560",40500,Public,,7,0.4,4,0.4
Nike,Apparel/Textiles,"One Bowerman Drive",Beaverton,Oregon,97005,"United States","(503) 671-6453",nikeinc.com,"44,538",73300,Public,,11,1.0,5,0.2
Deere,Machinery,"One John Deere Place",Moline,Illinois,61265,"United States","(309) 765-8000",www.deere.com,"43,582",75550,Public,,22,1.8,4,0.2
Tyson,Food,"2200 W. Don Tyson Parkway",Springdale,Arkansas,72762,"United States","(479) 290-4000",www.tysonfoods.com,"43,185",139000,Public,,13,0.6,6,0.6
"American Express","Financial Services","200 Vesey Street","New York","New York",10285,"United States","(212) 640-2000",www.americanexpress.com,"43,147",64000,Public,,16,1.0,6,
"Abbott Laboratories","Medical Products","100 Abbott Park Road Abbott Park","North Chicago",Illinois,60064,"United States","(224) 667-6100",www.abbott.com,"43,075",113000,Public,,33,0.4,8,0.2
Progressive,Insurance,"6300 Wilson Mills Road","Mayfield Village",Ohio,44143,"United States","(440) 461-5000",www.progressive.com,"42,638",43326,Public,,3,0.2,,
Oracle,Software,"2300 Oracle Way",Austin,Texas,78741,"United States","(737) 867-1000",www.oracle.com,"42,440",135000,Public,,131,2.0,1,
TJX,Retail,"770 Cochituate Road",Framingham,Massachusetts,01701,"United States","(508) 390-1000",www.tjx.com,"41,717",320000,Public,,5,0.2,1,
"Enterprise Products Partners","Oil/Gas Exploration","1100 Louisiana Street, 10th Floor",Houston,Texas,77002,"United States","(713) 381-6500",www.enterpriseproducts.com,"40,807",0,Public,,19,0.4,5,0.2
Coca-Cola,Beverages,"One Coca-Cola Plaza",Atlanta,Georgia,30313,"United States","(404) 676-2121",www.coca-colacompany.com,"38,660",80300,Public,,18,0.4,8,0.6
Dow,Chemicals,"2211 H.H. Dow Way",Midland,Michigan,48674,"United States","(989) 636-1000",www.dow.com,"38,542",35700,Public,,9,,17,0.4
"General Dynamics",Defense,"2941 Fairview Park Drive,Suite 100","Falls Church",Virginia,22042,"United States","(703) 876-3000",www.gd.com,"38,469",103000,Public,,30,0.2,6,
Nucor,Metals/Mining,"1915 Rexford Road",Charlotte,"North Carolina",28211,"United States","(704) 366-7000",www.nucor.com,"36,484",28800,Public,,33,2.4,,
Exelon,Utilities,"10 South Dearborn Street, 48th Floor PO Box 805379",Chicago,Illinois,60680,"United States","(800) 483-3220",www.exeloncorp.com,"36,347",31518,Public,,7,,6,0.4
"Northrop Grumman",Aerospace,"2980 Fairview Park Drive","Falls Church",Virginia,22042,"United States","(703) 280-2900",www.northropgrumman.com,"35,667",88000,Public,,21,0.4,14,0.2
3M,Diversified,"3M Center","St Paul",Minnesota,55144,"United States","(651) 733-1110",www.3m.com,"35,355",95000,Public,,81,0.6,19,1.0
"Arrow Electronics",Distribution,"9201 East Dry Creek Road",Centennial,Colorado,80112,"United States","(303) 824-4000",www.arrow.com,"34,477",20700,Public,,34,0.2,1,
"Honeywell International",Diversified,"855 South Mint Street",Charlotte,"New Jersey",28202,"United States","(704) 627-6200",www.honeywell.com,"34,392",99000,Public,,78,2.0,8,0.2
"Dollar General",Retail,"100 Mission Ridge",Goodlettsville,Tennessee,37072,"United States","(615) 855-4000",www.dollargeneral.com,"34,220",163000,Public,,1,0.2,,
CHS,Agriculture,"5500 Cenex Drive","Inver Grove Heights",Minnesota,55077,"United States","(651) 355-6000",www.chsinc.com,"32,683",10493,Public,,9,,,
"Thermo Fisher Scientific","Test/Measurement Equipment","168 Third Avenue",Waltham,Massachusetts,02451,"United States","(781) 622-1000",www.thermofisher.com,"32,218",80000,Public,,59,2.0,8,0.2
Travelers,Insurance,"485 Lexington Avenue","New York","New York",10017,"United States","(917) 778-6000",www.travelers.com,"31,981",29988,Public,,8,0.4,2,
CarMax,Retail,"12800 Tuckahoe Creek Parkway",Richmond,Virginia,23238,"United States","(804) 747-0422",www.carmax.com,"31,900",30000,Public,,1,0.2,1,0.2
Tesla,Automotive,"3500 Deer Creek Road","Palo Alto",California,94304,"United States","(650) 681-5000",www.tesla.com,"31,536",70757,Public,,6,0.4,,
Delta,Airlines,"Post Office Box 20706",Atlanta,Georgia,30320,"United States","(404) 715-2600",www.delta.com,"29,899",83000,Public,,2,,1,
Netflix,"Digital Media","100 Winchester Circle","Los Gatos",California,95032,"United States","(408) 540-3700",www.netflix.com,"29,698",11300,Public,,5,0.8,,
Danaher,Diversified,"2200 Pennsylvania Avenue, NW Suite 800W",Washington,"District of Columbia",20037,"United States","(202) 828-0850",www.danaher.com,"29,453",78000,Public,,41,0.8,9,0.2
Jabil,Manufacturing,"10560 Drive Martin Luther King, Jr. Street North","St. Petersburg",Florida,33716,"United States","(727) 577-9749",www.jabil.com,"29,285",260000,Public,,7,0.2,,
"Mondelez International",Food,"905 West Fulton Market Suite 200",Chicago,"New Jersey",60607,"United States","(847) 943-4000",www.mondelezinternational.com,"28,720",79000,Public,,16,1.4,10,
"Philip Morris International","Consumer Products","120 Park Avenue","New York","New York",10017,"United States","(917) 663-2000",www.pmi.com,"28,694",71000,Public,,7,0.8,,
Lilly,"Life Science","Lilly Corporate Center",Indianapolis,Indiana,46285,"United States","(317) 276-2000",www.lilly.com,"28,318",35000,Public,,28,1.8,9,0.2
"Capital One","Financial Services","1680 Capital One Drive",McLean,Virginia,22102,"United States","(703) 720-1000",www.capitalone.com,"27,933",51700,Public,,22,0.8,,
"Hewlett Packard","Information Technology","11445 Compaq Center West Drive",Houston,Texas,77070,"United States","(650) 687-5817",www.hpe.com,"27,784",60400,Public,,15,1.6,6,0.2
"D.R. Horton",Construction,"1341 Horton Circle",Arlington,Texas,76011,"United States","(817) 390-8200",www.drhorton.com,"27,774",11788,Public,,10,0.8,,
"Molina Healthcare",Insurance,"200 Oceangate, Suite 100","Long Beach",California,90802,"United States","(562) 435-3666",www.molinahealthcare.com,"27,771",14000,Public,,11,1.4,1,0.2
LyondellBasell,Chemicals,"1221 McKinney Street Suite 300",Houston,Texas,77010,"United States","713 309 7200",www.lyondellbasell.com,"27,753",19100,Public,"Apollo Global Management|Ares Private Equity Group|Access Industries, Inc.",8,0.6,4,0.2
CBRE,"Real Estate","2100 McKinney Avenue, Suite 1250",Dallas,Texas,75201,"United States","(214) 979-6100",www.cbre.com,"27,746",105000,Public,,45,1.6,1,0.2
Micron,Semiconductors,"8000 South Federal Way",Boise,Idaho,83716,"United States","(208) 368-4000",www.micron.com,"27,705",44000,Public,,11,0.2,2,
Broadcom,Semiconductors,"1320 Ridder Park Drive","San Jose",California,95131,"United States","+408 433 8000",www.broadcom.com,"27,450",20000,Public,,15,0.6,8,0.6
Lennar,Construction,"700 Northwest 107th Avenue",Miami,Florida,33172,"United States","(305) 559-4000",www.lennar.com,"27,131",10753,Public,,15,0.2,,
NRG,Utilities,"910 Louisiana Street",Houston,"New Jersey",77002,"United States","(713) 537-3000",www.nrg.com,"26,989",6635,Public,,15,0.2,6,0.4
NVIDIA,Semiconductors,"2788 San Tomas Expressway","Santa Clara",California,95051,"United States","(408) 486-2000",www.nvidia.com,"26,914",22473,Public,,15,0.8,,
UNFI,Distribution,"313 Iron Horse Way",Providence,"Rhode Island",02908,"United States","(401) 528-8634",www.unfi.com,"26,514",28300,Public,,8,0.2,,
"Dollar Tree",Retail,"500 Volvo Parkway",Chesapeake,Virginia,23320,"United States","(757) 321-5000",www.dollartree.com,"26,321",61886,Public,,4,,1,
Amgen,"Life Science","One Amgen Center Drive","Thousand Oaks",California,91320,"United States","(805) 447-1000",www.amgen.com,"25,979",24200,Public,,20,1.0,,
Macy's,Retail,"151 West 34th Street","New York","New York",10001,"United States","(212) 494-1602",www.macysinc.com,"25,292",123000,Public,,4,0.2,2,
Paramount,Media,"1515 Broadway","New York","New York",10036,"United States","(212) 258-6000",www.paramount.com,"25,285",22109,Public,,12,0.8,5,0.4
"Duke Energy","Energy Services and Equipment","526 South Church Street",Charlotte,"North Carolina",28202,"United States","(704) 382-3853",www.duke-energy.com,"25,097",27605,Public,,12,0.6,9,0.2
PFG,Distribution,"12500 West Creek Parkway",Richmond,Virginia,23238,"United States","(804) 484-7700",www.pfgc.com,"25,086",20000,Public,,6,0.6,1,
"Gilead Sciences","Life Science","333 Lakeside Drive","Foster City",California,94404,"United States","(650) 574-3000",www.gilead.com,"24,689",11000,Public,,22,1.2,3,
"TD SYNNEX","Business Services","44201 Nobel Drive",Fremont,California,94538,"United States","(510) 656-3333",www.synnexcorp.com,"24,676",22000,Public,"Apollo Global Management",15,0.4,,
United,Airlines,"233 South Wacker Drive",Chicago,Illinois,60606,"United States","(872) 825-4000",www.united.com,"24,634",87000,Public,,3,,1,
"Rite Aid",Retail,"30 Hunter Lane","Camp Hill",Pennsylvania,17011,"United States","(717) 761-2633",www.riteaid.com,"24,043",50000,Public,,12,0.4,1,
Cummins,Machinery,"500 Jackson Street",Columbus,Indiana,47201,"United States","(812) 377-5000",www.cummins.com,"24,021",59900,Public,,9,1.0,2,
Schlumberger,"Energy Services and Equipment","5599 San Felipe",Houston,Texas,77042,"United States",,www.slb.com,"23,601",86000,Public,,46,0.4,7,0.4
Qualcomm,Semiconductors,"5775 Morehouse Drive","San Diego",California,92121,"United States","(858) 587-1121",www.qualcomm.com,"23,531",41000,Public,,37,1.0,5,0.4
Starbucks,Beverages,"2401 Utah Avenue South",Seattle,Washington,98134,"United States","(206) 447-1575",www.starbucks.com,"23,518",349000,Public,,9,,3,0.4
"Plains All American","Energy Services and Equipment","333 Clay Street, Suite 1600",Houston,Texas,77002,"United States","(713) 646-4100",www.plainsallamerican.com,"23,290",4400,Public,"Kayne Anderson Capital Advisors LP|First Reserve Management L.P.|EnCap Investments|EnCap Flatrock Midstream",7,0.2,2,0.4
"US Bank","Financial Services","800 Nicollet Mall",Minneapolis,Minnesota,55402,"United States","(651) 466-3000",www.usbank.com,"23,226",70000,Public,,10,0.8,2,0.2
McDonald's,Restaurants,"110 North Carpenter Street",Chicago,Illinois,60607,"United States","(630) 623-3000",www.aboutmcdonalds.com,"23,223",100000,Public,,6,0.4,7,0.2
"Applied Materials",Semiconductors,"3050 Bowers Avenue, P.O. Box 58039","Santa Clara",California,95052,"United States","(408) 727-5555",www.appliedmaterials.com,"23,063",30100,Public,,20,0.4,,
"US Foods",Distribution,"9399 West Higgins Road, Suite 500",Rosemont,Illinois,60018,"United States","(847) 720-8000",www.usfoods.com,"22,885",26000,Public,"KKR & Co. L.P.",23,0.4,,
Freeport-McMoRan,Metals/Mining,"333 North Central Avenue",Phoenix,Arizona,85004,"United States","(602) 366-8100",www.fcx.com,"22,845",24700,Public,,3,,2,
"Lithia Motors",Automotive,"150 North Bartlett Street",Medford,Oregon,97501,"United States","(541) 776-6401",www.lithiainvestorrelations.com,"22,832",21150,Public,,20,1.6,,
Truist,"Financial Services","214 North Tryon Street",Charlotte,"North Carolina",28202,"United States","(336) 733-2000",www.truist.com,"22,705",53207,Public,,50,1.0,,
Whirlpool,"Consumer Products","2000 North M-63","Benton Harbor",Michigan,49022,"United States","(269) 923-5000",www.whirlpoolcorp.com,"21,985",69000,Public,,9,0.2,4,0.4
AFLAC,Insurance,"1932 Wynnton Road",Columbus,Georgia,31999,"United States","(706) 323-3431",www.aflac.com,"21,923",12447,Public,,3,0.4,,
Visa,"Financial Services","PO Box 8999","San Francisco",California,94128,"United States","(650) 432-3200",www.usa.visa.com,"21,846",20500,Public,,14,1.6,,
PayPal,"Financial Services","2211 North First Street","San Jose",California,95131,"United States","(408) 967-1000",www.paypal.com,"21,454",26500,Public,,21,1.6,,
Salesforce,"Internet Software and Services","Salesforce Tower 3rd Floor 415 Mission Street","San Francisco",California,94105,"United States","(415) 901-7000",www.salesforce.com,"21,252",56606,Public,,60,2.8,,
Altria,"Consumer Products","6601 West Broad Street",Richmond,Virginia,23230,"United States","(804) 274-2200",www.altria.com,"21,111",6000,Public,,6,0.4,3,
AerSale,Aerospace,"121 Alhambra Plaza Suite 1110","Coral Gables",Florida,33134,"United States","(305) 764-3232",www.aersale.com,"20,908",470,Public,,2,0.4,,
CDW,E-Commerce,"200 North Milwaukee Avenue","Vernon Hills",Illinois,60061,"United States","(847) 465-6000",www.cdw.com,"20,821",12850,Public,,6,0.8,,
ManpowerGroup,Staffing,"100 Manpower Place",Milwaukee,Wisconsin,53212,"United States","(414) 961-1000",www.manpowergroup.com,"20,724",30000,Public,,14,0.2,,
"Baker Hughes","Energy Services and Equipment","17021 Aldine Westfield Road",Houston,Texas,77073,"United States","(713) 439-8600",www.bakerhughes.com,"20,502",54000,Public,,19,0.8,9,1.2
Penske,Retail,"2555 Telegraph Road","Bloomfield Hills",Michigan,48302,"United States","(248) 648-2500",www.penskeautomotive.com,"20,444",23000,Public,,23,0.8,,
DuPont,Chemicals,"Building 730 974 Centre Road",Wilmington,Delaware,19805,"United States","(302) 774-1000",www.dupont.com,"20,397",34000,Public,,18,1.2,19,0.6
AutoNation,Automotive,"200 SW 1st Avenue Fort Lauderdale","Fort Lauderdale",Florida,33301,"United States","(954) 769-6000",www.autonation.com,"20,390",21600,Public,,13,0.2,1,
Southern,Utilities,"30 Ivan Allen Jr Boulevard NW",Atlanta,Georgia,30308,"United States","(404) 506-5000",www.southerncompany.com,"20,375",27700,Public,,5,0.2,6,0.8
"World Fuel Services","Energy Services and Equipment","9800 Northwest 41st Street, Suite 400",Miami,Florida,33178,"United States","(305) 428-8000",www.wfscorp.com,"20,358",4300,Public,,16,0.4,1,0.2
"The Hartford",Insurance,"One Hartford Plaza",Hartford,Connecticut,06155,"United States","(860) 547-5000",www.thehartford.com,"20,320",18500,Public,,4,0.4,8,0.4
"Becton Dickinson","Medical Products","1 Becton Drive","Franklin Lake","New Jersey",07417,"United States","(201) 847-6800",www.bd.com,"20,248",75000,Public,,27,1.6,7,0.2
"Marsh & McLennan",Insurance,"1166 Avenue of the Americas","New York","New York",10036,"United States","(212) 345-5000",www.mmc.com,"19,820",83000,Public,,13,0.8,3,
Lumen,Communications,"100 CenturyLink Drive",Monroe,Louisiana,71203,"United States","(318) 388-9000",www.lumen.com,"19,687",36000,Public,,17,0.2,3,0.4
"EOG Resources","Oil/Gas Exploration","1111 Bagby Sky Lobby 2",Houston,Texas,77002,"United States","(713) 651-7000",www.eogresources.com,"19,669",2800,Public,,2,,1,
"Union Pacific",Transportation,"1400 Douglas Street",Omaha,Nebraska,68179,"United States","(402) 544-5000",www.up.com,"19,533",29755,Public,,5,0.6,1,
Kimberly-Clark,"Consumer Products","PO Box 619100",Dallas,Texas,75261,"United States","(972) 281-1200",www.kimberly-clark.com,"19,440",45000,Public,,14,0.4,4,0.2
"Kohl's ",Retail,"N56 W17000 Ridgewood Drive","Menomonee Falls",Wisconsin,53051,"United States","(262) 703-7000",www.Kohls.com,"19,433",99000,Public,,,,,
JLL,"Real Estate","200 East Randolph Drive",Chicago,Illinois,60601,"United States","(312) 782-5800",www.jll.com,"19,367",98200,Public,,29,1.8,,
"International Paper",Packaging,"6400 Poplar Avenue",Memphis,Tennessee,38197,"United States","(901) 419-9000",www.internationalpaper.com,"19,363",38200,Public,,14,0.2,12,0.8
Lear,Automotive,"21557 Telegraph Road",Southfield,Michigan,48033,"United States","(248) 447-1500",www.lear.com,"19,263",160100,Public,,21,1.0,1,
PNC,"Financial Services","The Tower at PNC Plaza 300 Fifth Avenue",Pittsburgh,Pennsylvania,15222,"United States","(888) 762-2265",www.pnc.com,"19,135",49549,Public,,17,0.8,5,0.4
