,Unnamed: 0,Name,Sector,Address,City,State or Province,Zip,Country,Phone,Url,Revenue ($mlns),Employees,Ownership Status,Investors/Acquirers,Buy M&A Count - Total,Avg. Buy Count Per Year (Last 5 Yrs),Sell M&A Count - Total,Avg. Sell Count Per Year (Last 5 Yrs),Twitter URL,Twitter Handle
39,128,Plains All American,Energy Services and Equipment,"333 Clay Street, Suite 1600",Houston,Texas,77002,United States,(713) 646-4100,www.plainsallamerican.com,"23,290",4400,Public,Kayne Anderson Capital Advisors LP|First Reserve Management L.P.|EnCap Investments|EnCap Flatrock Midstream,7.0,0.2,2.0,0.4,,
40,132,US Foods,Distribution,"9399 West Higgins Road, Suite 500",Rosemont,Illinois,60018,United States,(847) 720-8000,www.usfoods.com,"22,885",26000,Public,KKR & Co. L.P.,23.0,0.4,,,https://twitter.com/usfoods,usfoods
41,134,Lithia Motors,Automotive,150 North Bartlett Street,Medford,Oregon,97501,United States,(541) 776-6401,www.lithiainvestorrelations.com,"22,832",21150,Public,,20.0,1.6,,,https://www.twitter.com/lithiamotors,lithiamotors
43,142,AerSale,Aerospace,121 Alhambra Plaza Suite 1110,Coral Gables,Florida,33134,United States,(305) 764-3232,www.aersale.com,"20,908",470,Public,,2.0,0.4,,,https://twitter.com/aersale,aersale
44,144,ManpowerGroup,Staffing,100 Manpower Place,Milwaukee,Wisconsin,53212,United States,(414) 961-1000,www.manpowergroup.com,"20,724",30000,Public,,14.0,0.2,,,https://twitter.com/ManpowerGroup,ManpowerGroup
45,146,Penske,Retail,2555 Telegraph Road,Bloomfield Hills,Michigan,48302,United States,(248) 648-2500,www.penskeautomotive.com,"20,444",23000,Public,,23.0,0.8,,,https://twitter.com/penskecars,penskecars
46,148,AutoNation,Automotive,200 SW 1st Avenue Fort Lauderdale,Fort Lauderdale,Florida,33301,United States,(954) 769-6000,www.autonation.com,"20,390",21600,Public,,13.0,0.2,1.0,,https://twitter.com/AutoNation,AutoNation
47,150,World Fuel Services,Energy Services and Equipment,"9800 Northwest 41st Street, Suite 400",Miami,Florida,33178,United States,(305) 428-8000,www.wfscorp.com,"20,358",4300,Public,,16.0,0.4,1.0,0.2,https://twitter.com/world_fuel,world_fuel
49,158,Kohl's ,Retail,N56 W17000 Ridgewood Drive,Menomonee Falls,Wisconsin,53051,United States,(262) 703-7000,www.Kohls.com,"19,433",99000,Public,,,,,,https://twitter.com/kohls,kohls
50,159,JLL,Real Estate,200 East Randolph Drive,Chicago,Illinois,60601,United States,(312) 782-5800,www.jll.com,"19,367",98200,Public,,29.0,1.8,,,https://twitter.com/JLL,JLL
51,161,Lear,Automotive,21557 Telegraph Road,Southfield,Michigan,48033,United States,(248) 447-1500,www.lear.com,"19,263",160100,Public,,21.0,1.0,1.0,,https://twitter.com/LearCorporation,LearCorporation
54,165,PACCAR,Automotive,777-106th Avenue NE,Bellevue,Washington,98004,United States,(425) 468-7400,www.paccar.com,"18,729",26000,Public,,2.0,,,,,
55,166,Kyndryl,Information Technology,One Vanderbilt Avenue 15th Floor,New York,New York,10017,United States,(212) 896-2098,www.kyndryl.com,"18,657",90000,Public,,,,,,https://twitter.com/kyndryl,kyndryl
56,169,PG&E,Utilities,"77 Beale Street, PO Box 770000",San Francisco,California,94177,United States,(415) 973-1000,www.pgecorp.com,"18,469",24000,Public,,,,,,https://twitter.com/pge4me,pge4me
57,170,HF Sinclair,Oil/Gas Exploration,"2828 North Harwood, Suite 1300",Dallas,Texas,75201,United States,(214) 871-3555,www.hfsinclair.com,"18,389",4208,Public,,4.0,0.6,2.0,,,
58,175,Landos,Life Science,"1800 Kraft Drive, Suite 216",Blacksburg,Virginia,24060,United States,(540) 218-2232,www.landosbiopharma.com,"18,000",46,Public,,,,,,https://twitter.com/landosbio,landosbio
60,181,Tenet Health,Healthcare Services,14201 Dallas Parkway,Dallas,Texas,75254,United States,(469) 893-2200,www.tenethealth.com,"17,640",85800,Public,,6.0,0.2,10.0,0.4,https://twitter.com/tenethealth,tenethealth
61,182,Avnet,Distribution,2211 South 47th Street,Phoenix,Arizona,85034,United States,(480) 643-2000,www.avnet.com,"17,634",14600,Public,,78.0,0.4,6.0,0.2,https://twitter.com/avnet,avnet
63,188,Stryker,Medical Products,2825 Airview Boulevard,Kalamazoo,Michigan,49002,United States,(269) 385-2600,www.stryker.com,"17,108",46000,Public,,43.0,2.2,5.0,0.6,https://twitter.com/strykercomm,strykercomm
64,192,BJ's,Retail,25 Research Drive,Westborough,Massachusetts,1581,United States,(774) 512-7400,www.bjs.com,"16,667",34000,Public,,,,,,https://twitter.com/BJsWholesale,BJsWholesale
65,196,XPO,Transportation,Five Greenwich Office Park,Greenwich,Connecticut,6831,United States,(855) 976-6951,www.xpo.com,"16,252",108000,Public,,17.0,0.2,2.0,0.2,https://twitter.com/XPOLogistics,XPOLogistics
66,197,C.H. Robinson Worldwide,Transportation,14701 Charlson Road,Eden Prairie,Minnesota,55347,United States,(952) 937-8500,www.chrobinson.com,"16,207",14997,Public,,24.0,0.8,1.0,,https://twitter.com/CHRobinson ,CHRobinson 
68,203,Rocket Companies,Business Services,1050 Woodward Avenue,Detroit,Michigan,48226,United States,(313) 373-7990,www.rocketcompanies.com,"15,549",26000,Public,,1.0,0.2,,,https://www.twitter.com/rocketpressroom,rocketpressroom
69,208,Fidelity National Financial,Insurance,601 Riverside Avenue,Jacksonville,Florida,32204,United States,(904) 854-8100,www.fnf.com,"15,054",28290,Public,,29.0,1.0,8.0,0.6,https://twitter.com/FidelityNF,FidelityNF
70,213,Nordstrom,Retail,1617 Sixth Avenue,Seattle,Washington,98101,United States,(206) 628-2111,www.nordstrom.com,"14,789",72000,Public,,7.0,0.4,5.0,,https://twitter.com/nordstrom,nordstrom
72,217,RGA,Insurance,16600 Swingley Ridge Road,Chesterfield,Missouri,63017,United States,(636) 736-7000,www.rgare.com,"14,596",3600,Public,,4.0,0.2,1.0,0.2,https://twitter.com/RGA_RE,RGA_RE
73,219,ITW,Manufacturing,155 Harlem Avenue,Glenview,Illinois,60025,United States,(847) 724-7500,www.itw.com,"14,455",45000,Public,,48.0,0.2,13.0,0.6,,
75,222,Qurate Retail,E-Commerce,12300 Liberty Blvd.,Englewood,Colorado,80112,United States,(720) 875-5300,www.qurateretail.com,"14,177",26508,Public,,1.0,,,,https://twitter.com/qurateretailgrp,qurateretailgrp
76,224,Wayfair,E-Commerce,"4 Copley Place, 7th Floor",Boston,Massachusetts,2116,United States,(617) 532-6100,www.wayfair.com,"14,145",16200,Public,,3.0,,1.0,0.2,https://twitter.com/Wayfair,Wayfair
78,231,Berry,Plastics,101 Oakley Street,Evansville,Indiana,47710,United States,(812) 424-2904,www.berryglobal.com,"13,850",47000,Public,,14.0,0.4,2.0,0.4,https://twitter.com/berryglobalinc,berryglobalinc
79,234,GAP,Apparel/Textiles,2 Folsom Street,San Francisco,California,94105,United States,(415) 427-0100,www.gapinc.com,"13,800",117000,Public,,7.0,0.6,4.0,0.6,https://twitter.com/GapInc,GapInc
80,235,Loews,Diversified,667 Madison Avenue,New York,New York,10065,United States,(212) 521-2000,www.loews.com,"13,742",10340,Public,,1.0,,1.0,0.2,,
81,240,AECOM,Business Services,300 South Grand Avenue 9th Floor,Los Angeles,California,90071,United States,(213) 593-8100,www.aecom.com,"13,240",54000,Public,,12.0,0.2,5.0,0.8,https://twitter.com/AECOM,AECOM
82,243,Markel,Insurance,4521 Highwoods Parkway ,Glen Allen,Virginia,23060,United States,(804) 747-0136,www.markel.com,"12,910",20300,Public,Alliance Holdings,13.0,1.0,,,https://twitter.com/MarkelStyle,MarkelStyle
83,244,Fox,Media,1211 Avenue of the Americas,New York,New York,10036,United States,(212) 852-7000,www.foxcorporation.com,"12,909",9000,Public,,4.0,0.8,,,,
84,245,Carvana,E-Commerce,1930 West Rio Salado Parkway,Tempe,Arizona,85281,United States,(480) 719-8809,www.carvana.com,"12,814",21000,Public,,3.0,0.4,,,https://twitter.com/carvana,carvana
